country,population 2022,population 2023,rank,Total number of unemployement,unemployement female,unemployement male,unemployement rate
Turkmenistan,"6,430,770.00","6,516,100.00",111,,,,
El Salvador,"6,336,392.00","6,364,943.00",112,,,,
Republic of the Congo,"5,970,424.00","6,106,869.00",113,,,,
Singapore,"5,975,689.00","6,014,723.00",114,,,,
Denmark,"5,882,261.00","5,910,913.00",115,,,,
Slovakia,"5,643,453.00","5,795,199.00",116,,,,
Central African Republic,"5,579,144.00","5,742,315.00",117,,,,
Finland,"5,540,745.00","5,545,475.00",118,,,,
Norway,"5,434,319.00","5,474,360.00",119,,,,
Liberia,"5,302,681.00","5,418,377.00",120,,,,
Palestine,"5,250,072.00","5,371,230.00",121,,,,
Lebanon,"5,489,739.00","5,353,930.00",122,,,,
New Zealand,"5,185,288.00","5,228,100.00",123,,,,
Costa Rica,"5,180,829.00","5,212,173.00",124,,,,
Ireland,"5,023,109.00","5,056,935.00",125,,,,
Mauritania,"4,736,139.00","4,862,989.00",126,,,,
Oman,"4,576,298.00","4,644,384.00",127,,,,
Panama,"4,408,581.00","4,468,087.00",128,,,,
Kuwait,"4,268,873.00","4,310,108.00",129,,,,
Croatia,"4,030,358.00","4,008,617.00",130,,,,
Eritrea,"3,684,032.00","3,748,901.00",131,,,,
Georgia,"3,744,385.00","3,728,282.00",132,,,,
Mongolia,"3,398,366.00","3,447,157.00",133,,,,
Moldova,"3,272,996.00","3,435,931.00",134,,,,
Uruguay,"3,422,794.00","3,423,108.00",135,,,,
Puerto Rico,"3,252,407.00","3,260,314.00",136,,,,
Bosnia and Herzegovina,"3,233,526.00","3,210,847.00",137,,,,
Albania,"2,842,321.00","2,832,439.00",138,,,,
Jamaica,"2,827,377.00","2,825,544.00",139,,,,
Armenia,"2,780,469.00","2,777,970.00",140,,,,
Gambia,"2,705,992.00","2,773,168.00",141,,,,
Lithuania,"2,750,055.00","2,718,352.00",142,,,,
Qatar,"2,695,122.00","2,716,391.00",143,,,,
Botswana,"2,630,296.00","2,675,352.00",144,,,,
Namibia,"2,567,012.00","2,604,172.00",145,,,,
Gabon,"2,388,992.00","2,436,566.00",146,,,,
Lesotho,"2,305,825.00","2,330,318.00",147,,,,
Guinea-Bissau,"2,105,566.00","2,150,842.00",148,,,,
Slovenia,"2,119,844.00","2,119,675.00",149,,,,
North Macedonia,"2,093,599.00","2,085,679.00",150,,,,
Latvia,"1,850,651.00","1,830,211.00",151,,,,
Equatorial Guinea,"1,674,908.00","1,714,671.00",152,,,,
Trinidad and Tobago,"1,531,044.00","1,534,937.00",153,,,,
Bahrain,"1,472,233.00","1,485,509.00",154,,,,
Timor-Leste,"1,341,296.00","1,360,596.00",155,,,,
Estonia,"1,326,062.00","1,322,765.00",156,,,,
Mauritius,"1,299,469.00","1,300,557.00",157,,,,
Cyprus,"1,251,488.00","1,260,138.00",158,,,,
Eswatini,"1,201,670.00","1,210,822.00",159,,,,
Djibouti,"1,120,849.00","1,136,455.00",160,,,,
Reunion,"974,052.00","981,796.00",161,,,,
Fiji,"929,766.00","936,375.00",162,,,,
Comoros,"836,774.00","852,075.00",163,,,,
Guyana,"808,726.00","813,834.00",164,,,,
Bhutan,"782,455.00","787,424.00",165,,,,
Solomon Islands,"724,273.00","740,424.00",166,,,,
Macau,"695,168.00","704,149.00",167,,,,
Luxembourg,"647,599.00","654,768.00",168,,,,
Montenegro,"627,082.00","626,485.00",169,,,,
Suriname,"618,040.00","623,236.00",170,,,,
Cape Verde,"593,149.00","598,682.00",171,,,,
Western Sahara,"575,986.00","587,259.00",172,,,,
Malta,"533,286.00","535,064.00",173,,,,
Maldives,"523,787.00","521,021.00",174,,,,
Brunei,"449,002.00","452,524.00",175,,,,
Bahamas,"409,984.00","412,623.00",176,,,,
Belize,"405,272.00","410,825.00",177,,,,
Guadeloupe,"395,752.00","395,839.00",178,,,,
Iceland,"372,899.00","375,318.00",179,,,,
Martinique,"367,507.00","366,981.00",180,,,,
Mayotte,"326,101.00","335,995.00",181,,,,
Vanuatu,"326,740.00","334,506.00",182,,,,
French Guiana,"304,557.00","312,155.00",183,,,,
French Polynesia,"306,279.00","308,872.00",184,,,,
New Caledonia,"289,950.00","292,991.00",185,,,,
Barbados,"281,635.00","281,995.00",186,,,,
Sao Tome and Principe,"227,380.00","231,856.00",187,,,,
Samoa,"222,382.00","225,681.00",188,,,,
Curacao,"191,163.00","192,077.00",189,,,,
Saint Lucia,"179,857.00","180,251.00",190,,,,
Guam,"171,774.00","172,952.00",191,,,,
Kiribati,"131,232.00","133,515.00",192,,,,
Grenada,"125,438.00","126,183.00",193,,,,
Micronesia,"114,164.00","115,224.00",194,,,,
Jersey,"110,778.00","111,802.00",195,,,,
Tonga,"106,858.00","107,773.00",196,,,,
Seychelles,"107,118.00","107,660.00",197,,,,
Aruba,"106,445.00","106,277.00",198,,,,
Saint Vincent and the Grenadines,"103,948.00","103,698.00",199,,,,
United States Virgin Islands,"99,465.00","98,750.00",200,,,,
Antigua and Barbuda,"93,763.00","94,298.00",201,,,,
Isle of Man,"84,519.00","84,710.00",202,,,,
Andorra,"79,824.00","80,088.00",203,,,,
Dominica,"72,737.00","73,040.00",204,,,,
Cayman Islands,"68,706.00","69,310.00",205,,,,
Bermuda,"64,184.00","64,069.00",206,,,,
Guernsey,"63,301.00","63,544.00",207,,,,
Greenland,"56,466.00","56,643.00",208,,,,
Faroe Islands,"53,090.00","53,270.00",209,,,,
Northern Mariana Islands,"49,551.00","49,796.00",210,,,,
Saint Kitts and Nevis,"47,657.00","47,755.00",211,,,,
Turks and Caicos Islands,"45,703.00","46,062.00",212,,,,
Sint Maarten,"44,175.00","44,222.00",213,,,,
American Samoa,"44,273.00","43,914.00",214,,,,
Marshall Islands,"41,569.00","41,996.00",215,,,,
Liechtenstein,"39,327.00","39,584.00",216,,,,
Monaco,"36,469.00","36,297.00",217,,,,
San Marino,"33,660.00","33,642.00",218,,,,
Gibraltar,"32,649.00","32,688.00",219,,,,
Saint Martin,"31,791.00","32,077.00",220,,,,
British Virgin Islands,"31,305.00","31,538.00",221,,,,
Palau,"18,055.00","18,058.00",222,,,,
Cook Islands,"17,011.00","17,044.00",223,,,,
Anguilla,"15,857.00","15,899.00",224,,,,
Nauru,"12,668.00","12,780.00",225,,,,
Wallis and Futuna,"11,572.00","11,502.00",226,,,,
Tuvalu,"11,312.00","11,396.00",227,,,,
Saint Barthelemy,"10,967.00","10,994.00",228,,,,
Saint Pierre and Miquelon,"5,862.00","5,840.00",229,,,,
Montserrat,"4,390.00","4,386.00",230,,,,
Falkland Islands,"3,780.00","3,791.00",231,,,,
Niue,"1,934.00","1,935.00",232,,,,
Tokelau,"1,871.00","1,893.00",233,,,,
Vatican City,510.00,518.00,234,,,,
